Unnamed: 0,lat,lon,nearest_mrt_distance,nearest_bus_distance,address,postal_code,nearest_mrt_name,nearest_bus_name,education_score,shopping_score,food_score,healthcare_score,recreation_score
7395,1.394616885,103.7457688,371.9870611,89.90850099,566 CHOA CHU KANG ST 52,680566,YEW TEE MRT STATION,KRANJI PRI SCH,22.2542421,33.84699096,0.529598201,6.857173949,28.32732569
7396,1.394630782,103.9122939,86.34178313,25.47871386,171A EDGEDALE PLAINS,821171,CORAL EDGE LRT STATION,CORAL EDGE STN EXIT B,29.29261118,49.5287402,1.784058792,121.1836099,27.95401644
7397,1.394631282,103.903903,379.4349333,157.6167759,191B RIVERVALE DR,542191,COMPASSVALE LRT STATION,RIVERVALE PR SCH,35.65152094,40.42160344,2.215371345,94.03856382,40.52775903
7398,1.394636749,103.9029486,273.4976385,81.0653888,192C RIVERVALE DR,543192,COMPASSVALE LRT STATION,BLK 190C,34.68818803,39.43782467,2.609642723,98.68706449,40.18808472
7399,1.394684333,103.8908683,326.5150749,89.76303547,333A ANCHORVALE LINK,541333,FARMWAY LRT STATION,BLK 333B,32.72920711,44.60486379,5.356414563,132.2929494,38.4137228
7400,1.394707221,103.7472695,314.7978252,99.4019238,784 CHOA CHU KANG DR,680784,YEW TEE MRT STATION,KRANJI PRI SCH,25.06902423,34.67711749,0.573117887,7.165607296,32.00202078
7401,1.394721864,103.9098738,264.2939347,209.7861465,109A EDGEDALE PLAINS,821109,MERIDIAN LRT STATION,MERDIAN STN EXIT A,33.48341474,38.53798742,1.915737228,79.27162595,33.4320399
7402,1.394737063,103.9009649,59.11350624,102.7624514,297B COMPASSVALE ST,542297,COMPASSVALE LRT STATION,BLK 298A,35.06722409,39.8418331,3.091364238,119.6266197,41.84291056
7403,1.394750476,103.8772023,333.6602547,44.29770064,432A SENGKANG WEST WAY,791432,FERNVALE LRT STATION,BLK 432A,19.9765827,32.27912776,4.532520201,79.46720131,46.43838302
7404,1.394775289,103.9134368,135.3783174,145.3818183,171C EDGEDALE PLAINS,823171,CORAL EDGE LRT STATION,CORAL EDGE STN EXIT B,27.13333461,54.57254766,1.731186236,131.8047505,25.36572614
