postal_code,Description_clean
520257,Attributes BLK_NO 257  ST_COD TAS14R  ENTITYID 7722  POSTAL_COD 520257  INC_CRC 4C1E98580E0EAFA3  FMEL_UPD_D 20130426120320 
520816,Attributes BLK_NO 816  ST_COD TAA09N  ENTITYID 2532  POSTAL_COD 520816  INC_CRC D7F8BAB214D8AE67  FMEL_UPD_D 20130426120221 
656288,Attributes BLK_NO 288G  ST_COD BUS07Q  ENTITYID 2754  POSTAL_COD 656288  INC_CRC 9FA07F2319093EB4  FMEL_UPD_D 20140325183042 
523641,Attributes BLK_NO 641C  ST_COD TAS25T  ENTITYID 12980  POSTAL_COD 523641  INC_CRC 8631EFC8BE9C6BF1  FMEL_UPD_D 20230328181025 
530623,Attributes BLK_NO 623  ST_COD HOA11S  ENTITYID 12906  POSTAL_COD 530623  INC_CRC B0B26E6DDE7DF2D1  FMEL_UPD_D 20170601120549 
140111,Attributes BLK_NO 111  ST_COD COC04U  ENTITYID 4856  POSTAL_COD 140111  INC_CRC 77536A6B37707711  FMEL_UPD_D 20130426120249 
751357,Attributes BLK_NO 357A  ST_COD ADD01P  ENTITYID 368  POSTAL_COD 751357  INC_CRC 0913B7064F099772  FMEL_UPD_D 20130426120219 
520251,Attributes BLK_NO 251  ST_COD TAS14R  ENTITYID 2771  POSTAL_COD 520251  INC_CRC DA26EEBB1CCA7B28  FMEL_UPD_D 20130426120226 
670654,Attributes BLK_NO 654  ST_COD SEN12T  ENTITYID 359  POSTAL_COD 670654  INC_CRC B22FBF6F2EE6FDD7  FMEL_UPD_D 20130426120321 
470746,Attributes BLK_NO 746  ST_COD BER00B  ENTITYID 2854  POSTAL_COD 470746  INC_CRC B2E50EC3CEFB92EF  FMEL_UPD_D 20130426120223 
200029,Attributes BLK_NO 29  ST_COD KEL12T  ENTITYID 6810  POSTAL_COD 200029  INC_CRC 58DF2096B5FFCAEC  FMEL_UPD_D 20130426120315 
680771,Attributes BLK_NO 771  ST_COD CHS27B  ENTITYID 296  POSTAL_COD 680771  INC_CRC D4EB12FB4E57D5CF  FMEL_UPD_D 20130426120323 
640174,Attributes BLK_NO 174  ST_COD BOD01D  ENTITYID 11787  POSTAL_COD 640174  INC_CRC 20D131BFD99ADDF5  FMEL_UPD_D 20151130190131 
751480,Attributes BLK_NO 480A  ST_COD SED08Q  ENTITYID 500  POSTAL_COD 751480  INC_CRC A224D3ECA7C03548  FMEL_UPD_D 20130426120216 
793443,Attributes BLK_NO 443C  ST_COD FER01D  ENTITYID 3523  POSTAL_COD 793443  INC_CRC 6EF4240B646C11EE  FMEL_UPD_D 20130426120233 
550526,Attributes BLK_NO 526  ST_COD SEA19N  ENTITYID 4875  POSTAL_COD 550526  INC_CRC CCBDA3B6B4BB3DCD  FMEL_UPD_D 20130426120250 
520833,Attributes BLK_NO 833  ST_COD TAS28R  ENTITYID 909  POSTAL_COD 520833  INC_CRC 47E4C39193E952A8  FMEL_UPD_D 20140725100430 
820172,Attributes BLK_NO 172  ST_COD EDP01G  ENTITYID 2387  POSTAL_COD 820172  INC_CRC 8B5A21639A12B537  FMEL_UPD_D 20130426120222 
680564,Attributes BLK_NO 564  ST_COD CHS25Y  ENTITYID 11627  POSTAL_COD 680564  INC_CRC F5F4C1B690C97647  FMEL_UPD_D 20130426120234 
821666,Attributes BLK_NO 666A  ST_COD PUD06M  ENTITYID 9777  POSTAL_COD 821666  INC_CRC EDE6D8810D82A379  FMEL_UPD_D 20150128191633 
821210,Attributes BLK_NO 210A  ST_COD PUP08R  ENTITYID 9068  POSTAL_COD 821210  INC_CRC 3261544920B579A1  FMEL_UPD_D 20130719122130 
792430,Attributes BLK_NO 430B  ST_COD FEL02Q  ENTITYID 9066  POSTAL_COD 792430  INC_CRC 407C1BA00CC7647D  FMEL_UPD_D 20130426120339 
683487,Attributes BLK_NO 487C  ST_COD CHA45S  ENTITYID 11650  POSTAL_COD 683487  INC_CRC 5BA2443F6931421E  FMEL_UPD_D 20150128191633 
470715,Attributes BLK_NO 715  ST_COD BER00B  ENTITYID 5290  POSTAL_COD 470715  INC_CRC 05BD98A6B1DFB392  FMEL_UPD_D 20130426120257 
441015,Attributes BLK_NO 15A  ST_COD MAT14R  ENTITYID 6175  POSTAL_COD 441015  INC_CRC DEBF2F056C04EB62  FMEL_UPD_D 20130426120303 
821273,Attributes BLK_NO 273A  ST_COD PUP08R  ENTITYID 5034  POSTAL_COD 821273  INC_CRC F452EE61621F59D2  FMEL_UPD_D 20130426120254 
544205,Attributes BLK_NO 205D  ST_COD COL05F  ENTITYID 8850  POSTAL_COD 544205  INC_CRC 0C4BA7B882532128  FMEL_UPD_D 20130426120338 
320029,Attributes BLK_NO 29  ST_COD BAH02L  ENTITYID 6081  POSTAL_COD 320029  INC_CRC 3A9870322B07F3AA  FMEL_UPD_D 20130426120307 
312101,Attributes BLK_NO 101C  ST_COD TOP04U  ENTITYID 8649  POSTAL_COD 312101  INC_CRC 832ECB3E8F88AE40  FMEL_UPD_D 20130426120334 
820164,Attributes BLK_NO 164  ST_COD PUC09U  ENTITYID 7260  POSTAL_COD 820164  INC_CRC 01D4E16E916D542A  FMEL_UPD_D 20130426120316 
680677,Attributes BLK_NO 677  ST_COD CHC17Y  ENTITYID 11615  POSTAL_COD 680677  INC_CRC 4480B52B95F91E3B  FMEL_UPD_D 20130426120251 
659288,Attributes BLK_NO 288J  ST_COD BUS07Q  ENTITYID 6452  POSTAL_COD 659288  INC_CRC 257621FBEA858208  FMEL_UPD_D 20140523145734 
350130,Attributes BLK_NO 130  ST_COD POA04Y  ENTITYID 2174  POSTAL_COD 350130  INC_CRC AD881A133F8A061C  FMEL_UPD_D 20140325183042 
762316,Attributes BLK_NO 316B  ST_COD YIA08Y  ENTITYID 1557  POSTAL_COD 762316  INC_CRC 4AABA196FA74C0AF  FMEL_UPD_D 20140325183042 
121312,Attributes BLK_NO 312A  ST_COD CLA07H  ENTITYID 9989  POSTAL_COD 121312  INC_CRC 1527373B74E00BE5  FMEL_UPD_D 20171205101658 
650299,Attributes BLK_NO 299  ST_COD BUS04S  ENTITYID 6161  POSTAL_COD 650299  INC_CRC 61FF0606092397A9  FMEL_UPD_D 20130426120307 
161019,Attributes BLK_NO 19  ST_COD LIS02X  ENTITYID 4318  POSTAL_COD 161019  INC_CRC 796963A7055CD381  FMEL_UPD_D 20130426120242 
163016,Attributes BLK_NO 16  ST_COD TAS03D  ENTITYID 7600  POSTAL_COD 163016  INC_CRC 3DB4D95752ACAC8F  FMEL_UPD_D 20130426120319 
521605,Attributes BLK_NO 605A  ST_COD TAS24M  ENTITYID 12098  POSTAL_COD 521605  INC_CRC E3574920D1441FAE  FMEL_UPD_D 20181205103125 
680220,Attributes BLK_NO 220  ST_COD CHC16G  ENTITYID 11564  POSTAL_COD 680220  INC_CRC 7151827D4F6E2AEA  FMEL_UPD_D 20130426120317 
530572,Attributes BLK_NO 572  ST_COD HOS12Q  ENTITYID 6842  POSTAL_COD 530572  INC_CRC AE087BBABF7762C0  FMEL_UPD_D 20130426120314 
820191,Attributes BLK_NO 191  ST_COD PUC09U  ENTITYID 6073  POSTAL_COD 820191  INC_CRC 6EF577F415098517  FMEL_UPD_D 20130426120306 
682688,Attributes BLK_NO 688B  ST_COD CHD08D  ENTITYID 11555  POSTAL_COD 682688  INC_CRC 5F4A6FBFA2C7FBC4  FMEL_UPD_D 20130426120340 
550538,Attributes BLK_NO 538  ST_COD SEA19N  ENTITYID 8033  POSTAL_COD 550538  INC_CRC 9CA30379A3BE84CF  FMEL_UPD_D 20130426120328 
541313,Attributes BLK_NO 313A  ST_COD ANC04Y  ENTITYID 8507  POSTAL_COD 541313  INC_CRC B5A34DEE7ED208ED  FMEL_UPD_D 20130426120331 
512528,Attributes BLK_NO 528B  ST_COD PAS22U  ENTITYID 9677  POSTAL_COD 512528  INC_CRC 5D3AE98E27E76919  FMEL_UPD_D 20141127185830 
751463,Attributes BLK_NO 463A  ST_COD SED08Q  ENTITYID 808  POSTAL_COD 751463  INC_CRC E2512B05FE64C4F7  FMEL_UPD_D 20130920101235 
640925,Attributes BLK_NO 925  ST_COD JUS14M  ENTITYID 7995  POSTAL_COD 640925  INC_CRC 36AEE2F4A67A7866  FMEL_UPD_D 20130426120327 
120728,Attributes BLK_NO 728  ST_COD CLS07F  ENTITYID 12224  POSTAL_COD 120728  INC_CRC CEDF4DB691C2097F  FMEL_UPD_D 20170131193331 
680423,Attributes BLK_NO 423  ST_COD CHA44R  ENTITYID 11694  POSTAL_COD 680423  INC_CRC 74541C5D4296015B  FMEL_UPD_D 20130426120337 
681306,Attributes BLK_NO 306A  ST_COD CHA44R  ENTITYID 11363  POSTAL_COD 681306  INC_CRC 0ED5AF03C2789699  FMEL_UPD_D 20130426120312 
730313,Attributes BLK_NO 313  ST_COD WOS02Y  ENTITYID 8727  POSTAL_COD 730313  INC_CRC BAB59800C3B884C5  FMEL_UPD_D 20130426120343 
610354,Attributes BLK_NO 354  ST_COD KAC06N  ENTITYID 3970  POSTAL_COD 610354  INC_CRC 227F101FB46A28FF  FMEL_UPD_D 20130426120239 
530204,Attributes BLK_NO 204  ST_COD HOS07G  ENTITYID 217  POSTAL_COD 530204  INC_CRC 87A47403CABBA68D  FMEL_UPD_D 20130426120215 
730899,Attributes BLK_NO 899A  ST_COD WOD04K  ENTITYID 2215  POSTAL_COD 730899  INC_CRC 472973543330FCB1  FMEL_UPD_D 20130426120231 
131012,Attributes BLK_NO 12A  ST_COD DOE01D  ENTITYID 3728  POSTAL_COD 131012  INC_CRC E076E6E58242E08A  FMEL_UPD_D 20130426120235 
732012,Attributes BLK_NO 12B  ST_COD MAL10K  ENTITYID 8252  POSTAL_COD 732012  INC_CRC 9FCDCFD9AAB792D0  FMEL_UPD_D 20130426120219 
730025,Attributes BLK_NO 25  ST_COD MAD07G  ENTITYID 9610  POSTAL_COD 730025  INC_CRC EEDDB250E2FEF590  FMEL_UPD_D 20130426120338 
650327,Attributes BLK_NO 327  ST_COD BUS11Y  ENTITYID 10223  POSTAL_COD 650327  INC_CRC 0955D4A3348EFD76  FMEL_UPD_D 20130426120344 
520430,Attributes BLK_NO 430  ST_COD TAS19U  ENTITYID 10288  POSTAL_COD 520430  INC_CRC 0475AE59C7E7E3CB  FMEL_UPD_D 20130426120345 
550147,Attributes BLK_NO 147  ST_COD SEA14Z  ENTITYID 3674  POSTAL_COD 550147  INC_CRC CA9589CE59D5BA82  FMEL_UPD_D 20130426120240 
464094,Attributes BLK_NO 94E  ST_COD BEA08R  ENTITYID 8496  POSTAL_COD 464094  INC_CRC 5EEEC95627D97C20  FMEL_UPD_D 20130426120333 
510527,Attributes BLK_NO 527  ST_COD PAS22U  ENTITYID 11993  POSTAL_COD 510527  INC_CRC 5F84877A13BC1BB0  FMEL_UPD_D 20151001185830 
570268,Attributes BLK_NO 268  ST_COD BIS15M  ENTITYID 6619  POSTAL_COD 570268  INC_CRC BAA1A8E3F1B2F72F  FMEL_UPD_D 20130426120308 
162127,Attributes BLK_NO 127B  ST_COD KIT04C  ENTITYID 10959  POSTAL_COD 162127  INC_CRC 413AEBCC6E82A4C1  FMEL_UPD_D 20131121171732 
821640,Attributes BLK_NO 640A  ST_COD PUD06M  ENTITYID 2831  POSTAL_COD 821640  INC_CRC 9A83FFCE009A50C5  FMEL_UPD_D 20130426120224 
527498,Attributes BLK_NO 498J  ST_COD TAS23F  ENTITYID 2847  POSTAL_COD 527498  INC_CRC C0DAD895ABD9F6A0  FMEL_UPD_D 20130426120224 
571514,Attributes BLK_NO 514A  ST_COD BIS06N  ENTITYID 7918  POSTAL_COD 571514  INC_CRC 804B41FD1E22F7E1  FMEL_UPD_D 20130426120325 
730618,Attributes BLK_NO 618  ST_COD WOA02N  ENTITYID 2110  POSTAL_COD 730618  INC_CRC A8EA48162A9C706E  FMEL_UPD_D 20130426120257 
470712,Attributes BLK_NO 712  ST_COD BER00B  ENTITYID 7347  POSTAL_COD 470712  INC_CRC 59BD04701DAA1E11  FMEL_UPD_D 20130426120320 
523450,Attributes BLK_NO 450C  ST_COD TAS20C  ENTITYID 4555  POSTAL_COD 523450  INC_CRC EE49144D9A0A3E69  FMEL_UPD_D 20130426120246 
734782,Attributes BLK_NO 782D  ST_COD WOC05L  ENTITYID 1823  POSTAL_COD 734782  INC_CRC C5D80C8CD527E16A  FMEL_UPD_D 20230328181025 
732782,Attributes BLK_NO 782B  ST_COD WOC05L  ENTITYID 1836  POSTAL_COD 732782  INC_CRC 3B905A7B3845644C  FMEL_UPD_D 20230328181025 
736782,Attributes BLK_NO 782F  ST_COD WOC05L  ENTITYID 1837  POSTAL_COD 736782  INC_CRC 254B8F6AEF601E55  FMEL_UPD_D 20230328181025 
