name,amenity_type,LatLng,lat,lon
Jalan Besar Sport Centre,recreation,"1.31085490234655,103.859961713025",1.31085490234655,103.859961713025
Jurong East Sport Centre,recreation,"1.34621560865382,103.728835257122",1.34621560865382,103.728835257122
Jurong Lake Gardens ActiveSG Gym & Pool,recreation,"1.33050511056726,103.72564386067",1.33050511056726,103.72564386067
Jurong West Sport Centre,recreation,"1.33841806131036,103.693768903089",1.33841806131036,103.693768903089
Kallang Basin Swimming Complex,recreation,"1.32255951095461,103.872491025333",1.32255951095461,103.872491025333
Kallang Sport Centre,recreation,"1.30565165875547,103.878755652948",1.30565165875547,103.878755652948
Katong Swimming Complex,recreation,"1.30210563408213,103.886081879524",1.30210563408213,103.886081879524
MOE (Evans),recreation,"1.3184618711116,103.819071159688",1.3184618711116,103.819071159688
Tampines Sport Centre,recreation,"1.35349615471813,103.939683594446",1.35349615471813,103.939683594446
Pasir Ris Sport Centre,recreation,"1.37444845586213,103.95182250671",1.37444845586213,103.95182250671
Queenstown Sport Centre,recreation,"1.29680033222073,103.802388516812",1.29680033222073,103.802388516812
Sengkang Sport Centre,recreation,"1.39546568752975,103.885777121845",1.39546568752975,103.885777121845
Senja-Cashew Sport Centre,recreation,"1.38158679008906,103.76465958417",1.38158679008906,103.76465958417
Serangoon Sport Centre,recreation,"1.35703898057386,103.874593862669",1.35703898057386,103.874593862669
St. Wilfred Sport Centre,recreation,"1.32522688173154,103.861719013017",1.32522688173154,103.861719013017
Toa Payoh Sport Centre,recreation,"1.33060009023707,103.849986784647",1.33060009023707,103.849986784647
Woodlands SC,recreation,"1.43489537884401,103.780306578222",1.43489537884401,103.780306578222
Yan Kit Playfield,recreation,"1.27632290858823,103.842195029496",1.27632290858823,103.842195029496
Yio Chu Kang Sport Centre,recreation,"1.38227243839845,103.845767851183",1.38227243839845,103.845767851183
Yishun Sport Centre,recreation,"1.4120183648412,103.831177400105",1.4120183648412,103.831177400105
Yishun Swimming Complex,recreation,"1.42406331840536,103.833692367151",1.42406331840536,103.833692367151
WATERWAY PRIMARY SCHOOL,recreation,"1.39972632662651,103.9183464746",1.39972632662651,103.9183464746
WELLINGTON PRIMARY SCHOOL,recreation,"1.45210136674244,103.822284926512",1.45210136674244,103.822284926512
WEST GROVE PRIMARY SCHOOL,recreation,"1.34471212042596,103.698964208529",1.34471212042596,103.698964208529
WEST SPRING SECONDARY SCHOOL,recreation,"1.38782283037569,103.760128844415",1.38782283037569,103.760128844415
WEST VIEW PRIMARY SCHOOL,recreation,"1.38408830554919,103.760174576141",1.38408830554919,103.760174576141
WESTWOOD PRIMARY SCHOOL,recreation,"1.3477109600675,103.700467523491",1.3477109600675,103.700467523491
WESTWOOD SECONDARY SCHOOL,recreation,"1.35352612611352,103.701604299146",1.35352612611352,103.701604299146
WOODGROVE PRIMARY SCHOOL,recreation,"1.43273620728031,103.790230320105",1.43273620728031,103.790230320105
WOODGROVE SECONDARY SCHOOL,recreation,"1.42831827209743,103.79604758957",1.42831827209743,103.79604758957
WOODLANDS PRIMARY SCHOOL,recreation,"1.43655108638177,103.791570552535",1.43655108638177,103.791570552535
WOODLANDS RING PRIMARY SCHOOL,recreation,"1.43485179308054,103.79741434403",1.43485179308054,103.79741434403
WOODLANDS SECONDARY SCHOOL,recreation,"1.43918331246939,103.774498791356",1.43918331246939,103.774498791356
XINGHUA PRIMARY SCHOOL,recreation,"1.35799652865987,103.890216359076",1.35799652865987,103.890216359076
XINGNAN PRIMARY SCHOOL,recreation,"1.34270639010076,103.687588480238",1.34270639010076,103.687588480238
YANGZHENG PRIMARY SCHOOL,recreation,"1.34897202017145,103.868362530945",1.34897202017145,103.868362530945
YIO CHU KANG PRIMARY SCHOOL,recreation,"1.3778227015602,103.885568719306",1.3778227015602,103.885568719306
YIO CHU KANG SECONDARY SCHOOL,recreation,"1.37826334342741,103.841809451457",1.37826334342741,103.841809451457
YISHUN PRIMARY SCHOOL,recreation,"1.43351074516995,103.833920427443",1.43351074516995,103.833920427443
YISHUN SECONDARY SCHOOL,recreation,"1.42813323969096,103.828764326326",1.42813323969096,103.828764326326
YISHUN TOWN SECONDARY SCHOOL,recreation,"1.43260423601354,103.838011673961",1.43260423601354,103.838011673961
YU NENG PRIMARY SCHOOL,recreation,"1.33398037512048,103.932015039162",1.33398037512048,103.932015039162
YUAN CHING SECONDARY SCHOOL,recreation,"1.34189186893549,103.720630796363",1.34189186893549,103.720630796363
PUNGGOL SECONDARY SCHOOL,recreation,"1.40212628511678,103.909119270608",1.40212628511678,103.909119270608
PUNGGOL VIEW PRIMARY SCHOOL,recreation,"1.40514581676359,103.905156375342",1.40514581676359,103.905156375342
QIFA PRIMARY SCHOOL,recreation,"1.31326582739368,103.756629104605",1.31326582739368,103.756629104605
QIHUA PRIMARY SCHOOL,recreation,"1.44203596377394,103.788339765743",1.44203596377394,103.788339765743
QUEENSTOWN PRIMARY SCHOOL,recreation,"1.2955936495118,103.807548622399",1.2955936495118,103.807548622399
QUEENSTOWN SECONDARY SCHOOL,recreation,"1.29353328836811,103.813175479088",1.29353328836811,103.813175479088
QUEENSWAY SECONDARY SCHOOL,recreation,"1.30047516006655,103.80172361977",1.30047516006655,103.80172361977
RADIN MAS PRIMARY SCHOOL,recreation,"1.27499032183412,103.824087256908",1.27499032183412,103.824087256908
RAFFLES GIRLS' PRIMARY SCHOOL,recreation,"1.33007391902097,103.806221339658",1.33007391902097,103.806221339658
RED SWASTIKA SCHOOL,recreation,"1.33405658766319,103.934317535825",1.33405658766319,103.934317535825
REGENT SECONDARY SCHOOL,recreation,"1.39309407833931,103.750685563478",1.39309407833931,103.750685563478
RIVER VALLEY PRIMARY SCHOOL,recreation,"1.29422328504594,103.835815169235",1.29422328504594,103.835815169235
RIVERSIDE SECONDARY SCHOOL,recreation,"1.44110157030969,103.788308243319",1.44110157030969,103.788308243319
RIVERVALE PRIMARY SCHOOL,recreation,"1.39333505540306,103.90454526131",1.39333505540306,103.90454526131
YUHUA PRIMARY SCHOOL,recreation,"1.34291980808753,103.740861154255",1.34291980808753,103.740861154255
YUHUA SECONDARY SCHOOL,recreation,"1.34721844463787,103.722581523264",1.34721844463787,103.722581523264
